slot_label,recording_id,claimed_stem,status,in_gt,local_vocals,local_track,action
018w1,1grynb8x,acappella,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/018w1__Porter Robinson - Sad Machine [88bpm 5B]/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/018w1__Porter Robinson - Sad Machine.m4a,acquire_acappella_or_demucs
019w2,1pb916wp,acappella,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/019w2__The Outfield - Your Love/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/019w2__The Outfield - Your Love.m4a,acquire_acappella_or_demucs
020w1,26465gy5,regular,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/020w1__X Ambassadors - Unsteady/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/020w1__X Ambassadors - Unsteady [117bpm 10B].m4a,replace_version
022w1,2814q10p,regular,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/022w1__Two Friends - Out Of Love [82bpm 8B]/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/022w1__Two Friends - Out Of Love.m4a,replace_version
023w1,2pbphpjf,regular,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/023w1__Jason Mraz - I'm Yours [151bpm 1B]/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/023w1__Jason Mraz - I'm Yours [151bpm 1B].m4a,replace_version
026w1,9n99s8p,regular,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/026w1__Jon Bellion - All Time Low [90bpm 8B]/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/026w1__Jon Bellion - All Time Low [90bpm 8B].m4a,replace_version
027,tlp2594124,regular,missing,no,,,replace_version
027w2,1gwv7rjf,acappella,wrong_stem,no,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/027w2__Sigala - Sweet Lovin' (Acappella) [124bpm 6B]/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/027w2__Sigala - Sweet Lovin' (Acappella).m4a,acquire_acappella_or_demucs
028w1,1futm3mp,regular,wrong_stem,yes,"/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/028w1__Fall Out Boy - Sugar, We're Goin' Down/vocals.flac","/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/028w1__Fall Out Boy - Sugar, We're Goin' Down (Acappella).m4a",replace_version
030w2,1mjr3m1x,acappella,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/030w2__Melanie Martinez - Pity Party/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/030w2__Melanie Martinez - Pity Party [136bpm 11B].m4a,acquire_acappella_or_demucs
031w1,jzr25jf,regular,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/031w1__Fountains Of Wayne - Stacy's Mom/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/031w1__Fountains Of Wayne - Stacy's Mom [118bpm 12B].m4a,replace_version
034w1,28tckm0x,acappella,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/034w1__Mumford & Sons - The Cave/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/034w1__Mumford & Sons - The Cave [143bpm 12B].m4a,acquire_acappella_or_demucs
036w1,4vpcxt5,regular,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/036w1__Florence + The Machine - Dog Days Are Over/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/036w1__Florence + The Machine - Dog Days Are Over.m4a,replace_version
036w2,f9x17rx,acappella,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/036w2__Kiiara - Gold/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/036w2__Kiiara - Gold [85bpm 4A].m4a,acquire_acappella_or_demucs
039w2,tlp2594168,acappella,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/039w2__Rent - Seasons Of Love [89bpm 7B]/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/039w2__Rent - Seasons Of Love.m4a,acquire_acappella_or_demucs
